DEM;1034378
PC do B;10836
PCB;64394
PCO;3298
PDT;165014
PHS;5969
PMDB;3701791
PMN;7080
PP;119541
PPS;79617
PR;167488
PRB;39779
PRP;37429
PRTB;2691
PSB;1185156
PSC;190095
PSDB;1384036
PSDC;3986
PSL;121443
PSOL;36660
PSTU;3102
PT;295293
PT do B;38643
PTB;105439
PTC;22660
PTN;92174
PV;3698
