DEM;674325
PC do B;3113
PDT;586881
PHS;3462
PMDB;1855052
PMN;37031
PP;113619
PPS;53833
PR;242016
PRB;37357
PRP;2496
PRTB;6435
PSB;64925
PSC;18629
PSDB;290027
PSDC;7209
PSL;40290
PSOL;23826
PT;1803107
PT do B;79961
PTB;17628
PTC;9231
PTN;3329
PV;29707
